Story,Author,WorkTime,Article,OneOrMulti,Question,A,B,C,D,Answer
mc160.train.2,2176065621,3696,"Hawthorne rolled over in bed and looked around the room.  He let out a breath.His eyes were half-closed as he shoved the covers back from his bed, and movedtowards the door.  He knew that he had to check on Kate, if he did nothing else. She wasill, with a heart problem, and he worried about her all the time.They both lived in a home for orphans, and he had since his parents had died, when he wasthe age of four. He had taken care of Kate as if she were his sister ever since. Hewandered to her room sitting himself by her on her bed, shoving her hair from herface.She moved on the bed as he pulled her into his arms, ""Kate."" He said into her ear, ""It'stime to wake up."" He pressed a kiss to her head, and her eyes opened.""Hawthy?"" She said, her nickname for him moving from her lips.""Yea."" He moved her hair.""I want to go outside today,"" she said, and he nodded in response.""If you are up to it, I won't stop you"", he told her, and she smiled.""Thanks Hawthy"", she said.It wasn't long until she fell back to sleep.",one,What is wrong with the girl?,She has the flu.,She has a heart problem.,She has diabetes.,She has a cold.,She has a heart problem.
mc160.train.2,2176065621,3696,"Hawthorne rolled over in bed and looked around the room.  He let out a breath.His eyes were half-closed as he shoved the covers back from his bed, and movedtowards the door.  He knew that he had to check on Kate, if he did nothing else. She wasill, with a heart problem, and he worried about her all the time.They both lived in a home for orphans, and he had since his parents had died, when he wasthe age of four. He had taken care of Kate as if she were his sister ever since. Hewandered to her room sitting himself by her on her bed, shoving her hair from herface.She moved on the bed as he pulled her into his arms, ""Kate."" He said into her ear, ""It'stime to wake up."" He pressed a kiss to her head, and her eyes opened.""Hawthy?"" She said, her nickname for him moving from her lips.""Yea."" He moved her hair.""I want to go outside today,"" she said, and he nodded in response.""If you are up to it, I won't stop you"", he told her, and she smiled.""Thanks Hawthy"", she said.It wasn't long until she fell back to sleep.",one,What is the boy's name?,Hawthorne,Hawthorne's,Hamlet,Jeremy,Hawthorne
mc160.train.3,3317108882,1031,"One night I was at my friend's house where he threw a party. We were enjoying our dinnerat night when all of a sudden we heard a knock on the door. I opened the door and saw thisguy who had scar on his face. I asked my friend ""who is that guy?"", and he told me that itwas his friend. I didn't trust that guy because he looked very strange.After we had dinner the strange guy asked my friend to come outside because he wanted totalk to him. A few seconds later I heard a noise from outside and when I ran outside I sawthat the strange guy was trying to beat my friend. I ran towards him and asked him toleave our house. He left the house but after half an hour he came back and this time hewas dressed up as superhero and he also had a sword. As soon as I saw him I ran inside thehouse and called the cops. The cops came and the guy ran away as soon as he heard the copcar coming. We never found out what happened to that guy after that day.",one,What was the strange guy doing with the friend?,enjoying a meal,talking about his job,talking to him,trying to beat him,trying to beat him
mc160.train.3,3317108882,1031,"One night I was at my friend's house where he threw a party. We were enjoying our dinnerat night when all of a sudden we heard a knock on the door. I opened the door and saw thisguy who had scar on his face. I asked my friend ""who is that guy?"", and he told me that itwas his friend. I didn't trust that guy because he looked very strange.After we had dinner the strange guy asked my friend to come outside because he wanted totalk to him. A few seconds later I heard a noise from outside and when I ran outside I sawthat the strange guy was trying to beat my friend. I ran towards him and asked him toleave our house. He left the house but after half an hour he came back and this time hewas dressed up as superhero and he also had a sword. As soon as I saw him I ran inside thehouse and called the cops. The cops came and the guy ran away as soon as he heard the copcar coming. We never found out what happened to that guy after that day.",one,Why did the strange guy run away?,because he heard the cop car,because he saw his friend,because he didn't like the dinner,because it was getting late,because he heard the cop car
mc160.train.3,3317108882,1031,"One night I was at my friend's house where he threw a party. We were enjoying our dinnerat night when all of a sudden we heard a knock on the door. I opened the door and saw thisguy who had scar on his face. I asked my friend ""who is that guy?"", and he told me that itwas his friend. I didn't trust that guy because he looked very strange.After we had dinner the strange guy asked my friend to come outside because he wanted totalk to him. A few seconds later I heard a noise from outside and when I ran outside I sawthat the strange guy was trying to beat my friend. I ran towards him and asked him toleave our house. He left the house but after half an hour he came back and this time hewas dressed up as superhero and he also had a sword. As soon as I saw him I ran inside thehouse and called the cops. The cops came and the guy ran away as soon as he heard the copcar coming. We never found out what happened to that guy after that day.",one,Who was the strange guy dressed up as?,a sword,a car,a superhero,a cop,a superhero
mc160.train.3,3317108882,1031,"One night I was at my friend's house where he threw a party. We were enjoying our dinnerat night when all of a sudden we heard a knock on the door. I opened the door and saw thisguy who had scar on his face. I asked my friend ""who is that guy?"", and he told me that itwas his friend. I didn't trust that guy because he looked very strange.After we had dinner the strange guy asked my friend to come outside because he wanted totalk to him. A few seconds later I heard a noise from outside and when I ran outside I sawthat the strange guy was trying to beat my friend. I ran towards him and asked him toleave our house. He left the house but after half an hour he came back and this time hewas dressed up as superhero and he also had a sword. As soon as I saw him I ran inside thehouse and called the cops. The cops came and the guy ran away as soon as he heard the copcar coming. We never found out what happened to that guy after that day.",one,What did they eat at the friend's house?,lunch,snack,breakfast,dinner,dinner
mc160.train.4,2890584743,2309,"Two best friends lived in a small town. They grew up together and did everythingtogether. One boy was named James, and he was a cute, fat kid who was always pickedon. And then the other boy was named Alex, and he was handsome and cool. They wereopposites, but they didn't care. Alex would always protect James from the bullies becauseJames was weak.One day, James was being teased by the bullies, Gordon and Johnny, but Alex wasn't thereto save him. James didn't know what to do and was scared. But then he remembered all ofthe times Alex stood up for him. James looked up to Alex and he thought of him as hishero. James wanted to protect himself and not have Alex always come to help. So this time,James got up and was brave. He stood up to Gordon and Johnny and told them that he wasn'tscared. The bullies didn't know what to do and then gave up. They went away to look formore fun things to do. Alex saw the whole thing and was proud of James for being brave.Now James and Alex protect each other and stand up for each other. They still are the bestof friends.",one,Why was Alex proud of James?,Alex was proud because James was brave.,He was proud because he was his hero.,He was proud because he was weak.,He was proud because he was scared.,Alex was proud because James was brave.
mc160.train.4,2890584743,2309,"Two best friends lived in a small town. They grew up together and did everythingtogether. One boy was named James, and he was a cute, fat kid who was always pickedon. And then the other boy was named Alex, and he was handsome and cool. They wereopposites, but they didn't care. Alex would always protect James from the bullies becauseJames was weak.One day, James was being teased by the bullies, Gordon and Johnny, but Alex wasn't thereto save him. James didn't know what to do and was scared. But then he remembered all ofthe times Alex stood up for him. James looked up to Alex and he thought of him as hishero. James wanted to protect himself and not have Alex always come to help. So this time,James got up and was brave. He stood up to Gordon and Johnny and told them that he wasn'tscared. The bullies didn't know what to do and then gave up. They went away to look formore fun things to do. Alex saw the whole thing and was proud of James for being brave.Now James and Alex protect each other and stand up for each other. They still are the bestof friends.",one,Who is the character that is fat and is being bullied?,Alex,Gordon,Johnny,James,James
mc160.train.4,2890584743,2309,"Two best friends lived in a small town. They grew up together and did everythingtogether. One boy was named James, and he was a cute, fat kid who was always pickedon. And then the other boy was named Alex, and he was handsome and cool. They wereopposites, but they didn't care. Alex would always protect James from the bullies becauseJames was weak.One day, James was being teased by the bullies, Gordon and Johnny, but Alex wasn't thereto save him. James didn't know what to do and was scared. But then he remembered all ofthe times Alex stood up for him. James looked up to Alex and he thought of him as hishero. James wanted to protect himself and not have Alex always come to help. So this time,James got up and was brave. He stood up to Gordon and Johnny and told them that he wasn'tscared. The bullies didn't know what to do and then gave up. They went away to look formore fun things to do. Alex saw the whole thing and was proud of James for being brave.Now James and Alex protect each other and stand up for each other. They still are the bestof friends.",multiple,What did the bullies do after James stood up to them?,They wanted to be heroes. They were protecting themselves.,The bullies didn't know what to do and gave up. They went away to look for more fun things.,They were scared. They stood up for each other.,They were weak. They remembered all the times they were being protected.,The bullies didn't know what to do and gave up. They went away to look for more fun things.
mc160.train.4,2890584743,2309,"Two best friends lived in a small town. They grew up together and did everythingtogether. One boy was named James, and he was a cute, fat kid who was always pickedon. And then the other boy was named Alex, and he was handsome and cool. They wereopposites, but they didn't care. Alex would always protect James from the bullies becauseJames was weak.One day, James was being teased by the bullies, Gordon and Johnny, but Alex wasn't thereto save him. James didn't know what to do and was scared. But then he remembered all ofthe times Alex stood up for him. James looked up to Alex and he thought of him as hishero. James wanted to protect himself and not have Alex always come to help. So this time,James got up and was brave. He stood up to Gordon and Johnny and told them that he wasn'tscared. The bullies didn't know what to do and then gave up. They went away to look formore fun things to do. Alex saw the whole thing and was proud of James for being brave.Now James and Alex protect each other and stand up for each other. They still are the bestof friends.",multiple,Why did James stand up to the bullies?,Because he was weak. He wanted to be the opposite.,He wanted to protect himself. He didn't want Alex to always help him.,Because they grew up together. They were best friends.,He wanted to not be scared. He wanted someone to be proud of him.,He wanted to protect himself. He didn't want Alex to always help him.
mc160.train.5,2308723792,557,"One sunny day, Martha went on a walk through the park. While walking, she noticedsomething strange. No one was outside. She was the only person at the park. ""How strange,where is everyone?"" she thought. Martha looked everywhere. She looked inside therestrooms, under the benches, and even at the top of the slide. She was confused. Usually,she would see her friends playing with each other. She started walking again when one ofher friends popped up, surprising her. Her friend asked her, ""Why are you outside?"" Marthaasked what she meant, and explained that she always came out to the park to play. Herfriend then looked at her strangely and asked, ""Didn't Stephan invite you to his party?""Martha hadn't known that Stephan was holding a party. She was sad that he hadn't invitedher. She walked back home, upset.",multiple,Who didn't invite Martha to the party?,The park,No one,Martha,Stephan,Stephan
mc160.train.5,2308723792,557,"One sunny day, Martha went on a walk through the park. While walking, she noticedsomething strange. No one was outside. She was the only person at the park. ""How strange,where is everyone?"" she thought. Martha looked everywhere. She looked inside therestrooms, under the benches, and even at the top of the slide. She was confused. Usually,she would see her friends playing with each other. She started walking again when one ofher friends popped up, surprising her. Her friend asked her, ""Why are you outside?"" Marthaasked what she meant, and explained that she always came out to the park to play. Herfriend then looked at her strangely and asked, ""Didn't Stephan invite you to his party?""Martha hadn't known that Stephan was holding a party. She was sad that he hadn't invitedher. She walked back home, upset.",multiple,Why was Martha confused?,She didn't know who she was,She didn't know where she was,She didn't know what time it was,She couldn't find her friends,She couldn't find her friends
mc160.train.5,2308723792,557,"One sunny day, Martha went on a walk through the park. While walking, she noticedsomething strange. No one was outside. She was the only person at the park. ""How strange,where is everyone?"" she thought. Martha looked everywhere. She looked inside therestrooms, under the benches, and even at the top of the slide. She was confused. Usually,she would see her friends playing with each other. She started walking again when one ofher friends popped up, surprising her. Her friend asked her, ""Why are you outside?"" Marthaasked what she meant, and explained that she always came out to the park to play. Herfriend then looked at her strangely and asked, ""Didn't Stephan invite you to his party?""Martha hadn't known that Stephan was holding a party. She was sad that he hadn't invitedher. She walked back home, upset.",one,What kind of day was it?,Sunny,Windy,Rainy,Cloudy,Sunny
mc160.train.5,2308723792,557,"One sunny day, Martha went on a walk through the park. While walking, she noticedsomething strange. No one was outside. She was the only person at the park. ""How strange,where is everyone?"" she thought. Martha looked everywhere. She looked inside therestrooms, under the benches, and even at the top of the slide. She was confused. Usually,she would see her friends playing with each other. She started walking again when one ofher friends popped up, surprising her. Her friend asked her, ""Why are you outside?"" Marthaasked what she meant, and explained that she always came out to the park to play. Herfriend then looked at her strangely and asked, ""Didn't Stephan invite you to his party?""Martha hadn't known that Stephan was holding a party. She was sad that he hadn't invitedher. She walked back home, upset.",one,Where did Martha check first at the park?,Under the benches,At her house,Restrooms,At the top of the slides,Restrooms
mc160.train.6,1092266384,1370,"Sam woke up early. He wanted to play. Mom said he could not play. It was time forbreakfast. Sam loves breakfast. Sam loves breakfast because Sam loves cereal. There is alot of cereal in the kitchen. There are Cheerios, Fruit Loops, Friendly O's, andSharkies. Sam loves Cheerios, Fruit Loops, Friendly O's, and Sharkies. His favorite cerealis Friendly-O's. Sam loves Friendly-O's because they look like smiley faces. After Samfinishes breakfast Sam plays with Ralph. Ralph is a dog. Sam loves Ralph. Ralph likes toplay. Ralph likes to run. Ralph likes to jump. Sam loves Ralph because Ralph has floppyears. Sam loves Ralph because he licks him on the face. After Sam plays with Ralph hetakes a bath. Sam takes a bath because he has to get ready for school. Sam is happy to goto school. Sam can play with his friends at school. When he is at school he can see Bill,John, and Katy. Bill is Sam's best friend. John is the class cat. Katy is the classbird. Bill lives two houses down from Sam. Sam likes John the cat. He has a fluffytail. Bill likes John the cat too. When Bill and Sam get to school they pet John. Sam isready to play at school. School is fun.",multiple,Why did mom say Sam could not play?,It was time for a bath.,It was time to go to school.,Sam had to pet the cat.,It was time for breakfast.,It was time for breakfast.
mc160.train.6,1092266384,1370,"Sam woke up early. He wanted to play. Mom said he could not play. It was time forbreakfast. Sam loves breakfast. Sam loves breakfast because Sam loves cereal. There is alot of cereal in the kitchen. There are Cheerios, Fruit Loops, Friendly O's, andSharkies. Sam loves Cheerios, Fruit Loops, Friendly O's, and Sharkies. His favorite cerealis Friendly-O's. Sam loves Friendly-O's because they look like smiley faces. After Samfinishes breakfast Sam plays with Ralph. Ralph is a dog. Sam loves Ralph. Ralph likes toplay. Ralph likes to run. Ralph likes to jump. Sam loves Ralph because Ralph has floppyears. Sam loves Ralph because he licks him on the face. After Sam plays with Ralph hetakes a bath. Sam takes a bath because he has to get ready for school. Sam is happy to goto school. Sam can play with his friends at school. When he is at school he can see Bill,John, and Katy. Bill is Sam's best friend. John is the class cat. Katy is the classbird. Bill lives two houses down from Sam. Sam likes John the cat. He has a fluffytail. Bill likes John the cat too. When Bill and Sam get to school they pet John. Sam isready to play at school. School is fun.",one,Who is Sam's best friend?,Katy,John,Bill,Ralph,Bill
mc160.train.6,1092266384,1370,"Sam woke up early. He wanted to play. Mom said he could not play. It was time forbreakfast. Sam loves breakfast. Sam loves breakfast because Sam loves cereal. There is alot of cereal in the kitchen. There are Cheerios, Fruit Loops, Friendly O's, andSharkies. Sam loves Cheerios, Fruit Loops, Friendly O's, and Sharkies. His favorite cerealis Friendly-O's. Sam loves Friendly-O's because they look like smiley faces. After Samfinishes breakfast Sam plays with Ralph. Ralph is a dog. Sam loves Ralph. Ralph likes toplay. Ralph likes to run. Ralph likes to jump. Sam loves Ralph because Ralph has floppyears. Sam loves Ralph because he licks him on the face. After Sam plays with Ralph hetakes a bath. Sam takes a bath because he has to get ready for school. Sam is happy to goto school. Sam can play with his friends at school. When he is at school he can see Bill,John, and Katy. Bill is Sam's best friend. John is the class cat. Katy is the classbird. Bill lives two houses down from Sam. Sam likes John the cat. He has a fluffytail. Bill likes John the cat too. When Bill and Sam get to school they pet John. Sam isready to play at school. School is fun.",multiple,Why does Sam love Ralph?,Because Ralph licks him on the face and has floppy ears.,Because Ralph likes to lick him on the face and play.,Because Ralph likes to run and play.,Because Ralph likes to jump and run.,Because Ralph licks him on the face and has floppy ears.
mc160.train.6,1092266384,1370,"Sam woke up early. He wanted to play. Mom said he could not play. It was time forbreakfast. Sam loves breakfast. Sam loves breakfast because Sam loves cereal. There is alot of cereal in the kitchen. There are Cheerios, Fruit Loops, Friendly O's, andSharkies. Sam loves Cheerios, Fruit Loops, Friendly O's, and Sharkies. His favorite cerealis Friendly-O's. Sam loves Friendly-O's because they look like smiley faces. After Samfinishes breakfast Sam plays with Ralph. Ralph is a dog. Sam loves Ralph. Ralph likes toplay. Ralph likes to run. Ralph likes to jump. Sam loves Ralph because Ralph has floppyears. Sam loves Ralph because he licks him on the face. After Sam plays with Ralph hetakes a bath. Sam takes a bath because he has to get ready for school. Sam is happy to goto school. Sam can play with his friends at school. When he is at school he can see Bill,John, and Katy. Bill is Sam's best friend. John is the class cat. Katy is the classbird. Bill lives two houses down from Sam. Sam likes John the cat. He has a fluffytail. Bill likes John the cat too. When Bill and Sam get to school they pet John. Sam isready to play at school. School is fun.",one,What is Sam's favorite cereal?,Fruit Loops,Friendly O's,Cheerios,Sharkies,Friendly O's
mc160.train.7,4224222810,675,"In a quiet house there was a dog named Bentley. Bentley was a little brown puppy and hewas always getting into trouble. One day Bentley got outside and walked down thestreet. He found a trash can and started to dig through it. A cat came also to see whatBentley was doing. ""Excuse me, but what are you looking for?"" asked the cat. ""Well, nothingimportant,"" Bentley told the cat. ""I wanted to see if there was anything cool in there.""The cat told Bentley that his name was Felix and asked if he could dig through the trashtoo. ""Sure thing"" Bentley told the cat. The two of them started to dig through the trashagain. After a little bit the pair got bored and started to walk down the street goingaway from Bentley's house. They walked to a river and went to the edge of the water. Theysaw they were dirty because they had been digging in the trash so they went into the waterto wash themselves. When they were clean they went back to Bentley's house. Inside thehouse they got water on everything because they were still wet. Bentley's human's camehome and were very upset that their house was now very wet.",one,Why were Bentley's human's upset?,They had been stuck in traffic,The house was wet,The door was open,The animals ripped the sofa,The house was wet
mc160.train.7,4224222810,675,"In a quiet house there was a dog named Bentley. Bentley was a little brown puppy and hewas always getting into trouble. One day Bentley got outside and walked down thestreet. He found a trash can and started to dig through it. A cat came also to see whatBentley was doing. ""Excuse me, but what are you looking for?"" asked the cat. ""Well, nothingimportant,"" Bentley told the cat. ""I wanted to see if there was anything cool in there.""The cat told Bentley that his name was Felix and asked if he could dig through the trashtoo. ""Sure thing"" Bentley told the cat. The two of them started to dig through the trashagain. After a little bit the pair got bored and started to walk down the street goingaway from Bentley's house. They walked to a river and went to the edge of the water. Theysaw they were dirty because they had been digging in the trash so they went into the waterto wash themselves. When they were clean they went back to Bentley's house. Inside thehouse they got water on everything because they were still wet. Bentley's human's camehome and were very upset that their house was now very wet.",one,What was the name of the cat Bentley met?,Bentley,Human,Felix,Puppy,Felix
mc160.train.7,4224222810,675,"In a quiet house there was a dog named Bentley. Bentley was a little brown puppy and hewas always getting into trouble. One day Bentley got outside and walked down thestreet. He found a trash can and started to dig through it. A cat came also to see whatBentley was doing. ""Excuse me, but what are you looking for?"" asked the cat. ""Well, nothingimportant,"" Bentley told the cat. ""I wanted to see if there was anything cool in there.""The cat told Bentley that his name was Felix and asked if he could dig through the trashtoo. ""Sure thing"" Bentley told the cat. The two of them started to dig through the trashagain. After a little bit the pair got bored and started to walk down the street goingaway from Bentley's house. They walked to a river and went to the edge of the water. Theysaw they were dirty because they had been digging in the trash so they went into the waterto wash themselves. When they were clean they went back to Bentley's house. Inside thehouse they got water on everything because they were still wet. Bentley's human's camehome and were very upset that their house was now very wet.",one,What was Bentley digging in?,River,Trash,Dirt,Street,Trash
mc160.train.7,4224222810,675,"In a quiet house there was a dog named Bentley. Bentley was a little brown puppy and hewas always getting into trouble. One day Bentley got outside and walked down thestreet. He found a trash can and started to dig through it. A cat came also to see whatBentley was doing. ""Excuse me, but what are you looking for?"" asked the cat. ""Well, nothingimportant,"" Bentley told the cat. ""I wanted to see if there was anything cool in there.""The cat told Bentley that his name was Felix and asked if he could dig through the trashtoo. ""Sure thing"" Bentley told the cat. The two of them started to dig through the trashagain. After a little bit the pair got bored and started to walk down the street goingaway from Bentley's house. They walked to a river and went to the edge of the water. Theysaw they were dirty because they had been digging in the trash so they went into the waterto wash themselves. When they were clean they went back to Bentley's house. Inside thehouse they got water on everything because they were still wet. Bentley's human's camehome and were very upset that their house was now very wet.",multiple,Where did the two animals go after digging in the trash?,The city,River,Space,Home,River
mc160.train.8,1844466225,4293,Timmy liked to play games and play sports but more than anything he liked to collectthings. He collected bottle caps. He collected sea shells. He collected baseball cards. Hehas collected baseball cards the longest. He likes to collect the thing that he hascollected the longest the most. He once thought about collecting stamps but never did. Hismost expensive collection was not his favorite collection. Timmy spent the most money onhis bottle cap collection.,multiple,Which item did Timmy like to collect the most?,Baseball cards,Bottle caps,Sea shells,Stamps,Baseball cards
mc160.train.8,1844466225,4293,Timmy liked to play games and play sports but more than anything he liked to collectthings. He collected bottle caps. He collected sea shells. He collected baseball cards. Hehas collected baseball cards the longest. He likes to collect the thing that he hascollected the longest the most. He once thought about collecting stamps but never did. Hismost expensive collection was not his favorite collection. Timmy spent the most money onhis bottle cap collection.,one,Which is Timmy's most expensive collection?,Sea Shells,Baseball Cards,Stamps,Bottle Cap,Bottle Cap
mc160.train.8,1844466225,4293,Timmy liked to play games and play sports but more than anything he liked to collectthings. He collected bottle caps. He collected sea shells. He collected baseball cards. Hehas collected baseball cards the longest. He likes to collect the thing that he hascollected the longest the most. He once thought about collecting stamps but never did. Hismost expensive collection was not his favorite collection. Timmy spent the most money onhis bottle cap collection.,one,Which item did Timmy not collect?,Baseball cards,Bottle caps,Sea shells,Stamps,Stamps
mc160.train.8,1844466225,4293,Timmy liked to play games and play sports but more than anything he liked to collectthings. He collected bottle caps. He collected sea shells. He collected baseball cards. Hehas collected baseball cards the longest. He likes to collect the thing that he hascollected the longest the most. He once thought about collecting stamps but never did. Hismost expensive collection was not his favorite collection. Timmy spent the most money onhis bottle cap collection.,one,Timmy liked to do which of these things the most?,Play games,Play sports,Collect things,Collect stamps,Collect things
mc160.train.9,259176131,762,"In a far away land known as Board, there was a great man named Pawn. This was a very oddland because the only thing to do was play chess. Pawn did not very much care for chess ashe was very bored with it. Another problem Pawn had was that he didn't like some of theother people in this land. They had names like Bishop, Queen, Rook, and Knight. And mostof all, there was King. He was the greatest person in Board. One day, during their normalbattle, Pawn saw an opening to move to the far end of Board. He almost got hurt by Knightbut he got away. Amazingly, when he got to the other end he became as powerful asQueen. With this amazing power, Pawn chose to help keep King safe. All was well until Pawnwoke up and knew that it was only a dream. He was still Pawn.",one,Who almost hurt Pawn?,Pawn,Queen,King,Knight,Knight
