Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
1-57,"Daughter: Guess what, Mom. I got it. Mother: Great. That's super. Father: What's going on? So, what did you get me? Daughter: Nothing. I got my driver's license. Okay. Bye. Father: Wait, wait, wait. Where are you going? Daughter: Mom said I could take the car to school this morning, and ... Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house. Daughter: Like what? Father: Let me get my notes here. Daughter: Dad! That looks like a book? Mom, Dad's being mean to me. Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months. Daughter: What? Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight. Daughter: But that's not me! Do I really need this lecture? This is such a drag! Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ... Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times. Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road. Daughter: Duh. I wasn't born yesterday. Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine. Daughter: But the movie theater is right across the street from our house. Father: Exactly, so you can just park in the driveway and walk there. Daughter: Mom! Dad's being unreasonable. Father: And rule number four: You should never use a cell phone while driving. That could cause an accident. Daughter: But YOU do. Father: That's different. Daughter: How's it different? You even need my help to turn your cell phone on. Father: And rule number five: Remember that I love you, and I'm just a protective father who wants his daughter to always be safe. Daughter: Does that mean I can take the car now? Father: Well, I don't know. Daughter: Please dad, please. You're the best dad in the whole wide world. Father: That's not what you said earlier. Daughter: Hey, having the car keys in my hands changes my whole perspective on life. Father: Well, okay. I guess if I'm considered the best dad in the world for five minutes, then I'll accept that. Daughter: Yeah. Father: Okay, but drive carefully and don't forget to fill up the car with gas before you come home. [Bye. Love ya guys.] Okay. Hon, do you think I did the right thing? Mother: Yeah. She has to grow up sometime.",Why is the girl excited at the beginning of the conversation?,She has just started driver's education classes at school.,She is taking her driver's license road test today.,She has her license and wants to drive now.,She has her license and wants to drive now.
3-158,"W: What do you think of my new car? M: To be honest, it is no better than mine.",What's the man's opinion of the woman's car?,Her car is better than his.,Her car is cheaper.,Her car is not so good.,Her car is not so good.
12-38,"F: Excuse me. Could you tell me the way to the Book Shop? M: OK. Turn left at the second crossing, the highest building on the left is the shop.",Where are they talking?,In a street.,In the Book Shop.,In a tall building.,In a street.
15-148,"W: This is a beautiful park. Shall we come again tomorrow? M: Don't we have to go shopping? W: We can do that in the afternoon, and come here in the morning. M: OK. And let's bring Hilda and Julia with us.",Where are they going to do tomorrow afternoon?,They are going shopping.,They are going to the park.,They are going to the cinema with their children.,They are going shopping.
15-55,W: What did the weatherman say? M: It's supposed to clear up this week.,What are the speakers talking about?,A man.,The weather.,An exam.,The weather.
12-470,"F: When will the concert finish? M: Well...it starts at six thirty, and will lasts three hours.",When will the concert finish?,Six thirty.,Nine thirty.,Seven thirty.,Nine thirty.
4-1471,"M: Hello, Jean! W: Mike Carstairs! My favorite customer. You haven't been in for ages. M: No, I haven't. That's right. W: How are you? M: I'm fine. I heard you weren't well. W: Well, I was away for a couple of weeks. But I'm fine now. Ah! You were going to the States, weren't you? M: I planned to go there, but I didn't. W: Oh, didn't you? M: What I have been doing is reorganizing the whole department non-stop since I saw you. And this is the first time I've been in here since Christmas. W: Well, it's good to see you. Are you ready to order?",What does the woman do?,She is a waitress.,She is a teacher.,She is a secretary.,She is a waitress.
11-175,W: Has Tom moved to the downtown? M: No. He is still living in the country.,Where does Tom live?,In the city.,In the countryside.,In the downtown.,In the countryside.
4-227,"W: Hi, John! I'd like to invite you to dinner this evening. M: To dinner? What for? W: I have passed my driving test! M: Congratulations! I'm really glad to hear that. W: Thank you! I have been preparing for it for half a year, you know. And I've made it at last. M: So, where shall we have our dinner? W: How about the Friendship Hotel? I like the food and service there. M: I agree. I'll take you there in my car. W: Fine. Let's go at half past six.",Why does the woman invite the man to dinner?,It is her birthday.,She has passed her driving test.,It's the man's birthday.,She has passed her driving test.
21-178,"W: Did you cook the soup yourself, Mike? It's delicious. M: No. My mother cooked it for me.",Who cooked the soup?,Mike.,Mike's mother.,The man.,Mike's mother.
3-17,"W: Are you having a problem? M: Yes. I have to do a research paper for history. There's a major book that I need, but I can't find it. W: Did you try the card list? M: Yes, but it's not there. W: Well, if it's a recent book, it won't be in the card list. All information about books since 1995 is in the computer. I advise you to try that. M: No wonder! This book is published in 1998. W: All you have to do is to type in the title or the writer's name. M: Do you mean it will tell me whether the book is out or not? W: Yes, it will. It will also give you the due date if it is out. If the book is in the library, it will tell you where you can find the book.",Where does the conversation probably take place?,In a library.,In a classroom.,In a bookstore.,In a library.
12-524,F: When did you start your work last night? M: I began to work after the TV news finished.,What didn't the man do yesterday?,Watch TV.,Work.,Play games.,Play games.
7-153,W: Have you been wasting your time on those online games again? M: Not really. I've worked on my term paper a lot this week and I need a break.,What is the man doing now?,Writing his term paper.,Having a coffee break.,Playing computer games.,Playing computer games.
4-62,"W: Well, the salad's almost ready. How's the beef going? I'm starving. M: So am I. The beef looks just about ready. Just one minute ... ow! W: What's the matter? M: Oh, my finger, I burned my finger! W: Oh, wait, I'll get some ice and put it on your finger. M: OK. W: There. M: Ah, ah, much better. The ice really works. W: How does it feel? M: Oh, I feel good. Thanks. Let's eat.",What are the speakers doing?,Cooking.,Working.,Having dinner.,Cooking.
5-881,M: This TV set is getting worse and worse. Now it doesn't work at all. W: Here's an advertisement on the newspaper about a big TV sale. Usually a big sale like this would have some good bargains. What would you say?,What does the woman suggest?,They have to bargain on the sale.,The TV set is usually on sale.,They go to buy a TV set at a bargain price.,They go to buy a TV set at a bargain price.
21-121,"M: When in Rome, do as the Romans do, they say. W: What do the Romans do? M: They live in Rome, of course, and go to work by car or bus. But sometimes it takes too long that way because of the traffic jams, so they walk. W: In other words, the Romans do what everyone else does. M: Yes, but they do it differently. Everything is different. W: What do you mean? M: Well, the climate is different for a start. It doesn't rain so much as it does in England. The sun shines more often. W: I envy them for the sun. M: I Know. You hate the rain, don't you? W: I certainly do. M: And a Roman really loves life. They always eat spaghetti and drink wine. W: Not always, but they like a good meal. Lots of tourists go to Rome just for food. M: Sure.",What's the relationship between the two persons?,Wife and husband.,Salesman and customer.,Teacher and student.,Wife and husband.
12-176,"W: What do you think of your hotel? M: Not very good, I'm afraid.",What does the woman mean?,She wants to know how the man found the hotel.,She wants to know how the man likes the hotel.,She thinks the hotel is not very good.,She wants to know how the man likes the hotel.
4-799,"W: Hi, Mike! How are you feeling now? M: How did you know I was here? Is it Tom? W: I was talking with Bob yesterday and I learnt your right leg had been injured. How did it happen? M: Their right back Tom knocked me down when I rushed to their goal with the ball. W: Wow! He must have hit you hard. M: Of course. He hit me from the back and sent me rolling over and over. At the time I had a lot of pain. Anyway, they brought me here. W: Nothing serious, I hope. M: The doctor said there weren't any internal injuries, but that I'd better stay here a couple of days. W: Well, Mike. Take it easy. M: Thank you for your coming. And thanks for the flowers.",Where does the conversation take place?,In a hospital.,In a playground.,In the man's home.,In a hospital.
1-105,"Norman: Hey, neighbor. How's it going? Shawn: Fine. How about you? Norman: Okay. Huh, by the way, my wife and I are going out of town this weekend, and I was wondering if you could take care of some of our animals while we're gone. You know our dog, Jaws, don't you? Shawn: Yeah. My leg still hurts from the last incident. Norman: Hey, he's just a playful little beast. Shawn: Right. Norman: Hey, he likes to bark a little, and his bark is worse than his bite. Shawn: Oh yeah. Norman: Just feed him a can of dog food a day, and make sure he has plenty of water in his dish. [Oh] And then, take him for a walk around the block. Shawn: Well, how about if I just throw a Frisbee over the fence to give him some exercise? Wouldn't that work? Norman: Ah, and then, he likes to watch the 3:00 soap opera on Channel 4 [What?] ... and brush his teeth after you give you some doggie treats around 4:00. Shawn: Man, you really pamper your dog. Norman: And, then brush his fur for about twenty minutes. He tends to shed this time of year. [Ah, what?] And then scratch him around the ears. Otherwise, he feels neglected. Shawn: Is that it? Norman: Well, and then there's Claws. Shawn: Claws? Who's Claws. Norman: Oh, he's the cat we adopted from the animal shelter, but he's a little temperamental. Shawn: What do you mean ""temperamental""? Norman: Well, he has mood swings [Mood swings?], but he's been doing better since he's been going to the animal therapist. Shawn: A therapist? Norman: So, be sure to feed him a half cup of cat food two times a day [What? A therapist ...], and don't forget to put out (on) some soft classical music during his nap time at 2:40 p.m. But don't let him out of the house because he might run away and chase the neighbor's dog. Shawn: You have some high-maintenance animals. Norman: Not really. And, don't forget to change the cat litter daily, or he might have an accident on the carpet. [Oh, great.] And finally, there's Buttercup. Shawn: Buttercup? Who's Buttercu ...? I'm afraid to ask. Norman: Ah, she's a sweetie [What?] ... if you know how to handle her right. [Oh, great.] Wait. Let me get her for you. Here you are. Shawn: That's ... That's a snake ...[Hold her.] That's a big snake with big fangs. Does the snake go to a therapist, too? Norman: Of course not ... just an anger-management class. Shawn: Oh! What? Norman: I'm joking. Buttercup is a very docile creature, and she never bites anyone she likes. If she doesn't, you'll know because she starts hissing and staring at you ... kind like what she's doing now. Shawn: Well, I'm leaving. You must be going out of you mind to think I'm going to watch a zoo full of misunderstood animals. You'd better hire some professional help 'cause I wouldn't watch them even if you paid me a million dollars.",What is one of Shawn's concern about the dog?,It can be somewhat aggressive.,It eats too much food at one time.,The dog might mess on his carpet.,It can be somewhat aggressive.
7-106,"M: Excuse me, Madam. My fight is BA6520. Is this my gate? W: That's right. Please show your ticket and ID card.",What is the man doing now?,Checking in.,Paying money.,Buying tickets.,Checking in.
7-232,"W: Forgive my mess. We had a party last night. A lot of people came over and they all brought food and drinks. M: Yeah, I can tell. Well, I think it's pretty obvious what you'll be doing today.",What will the woman probably do today?,Get more food and drinks.,Make a thorough cleaning.,Ask her friends to come over.,Make a thorough cleaning.
16-67,"M: Anne, please bring your passport with you and at least 2,000 dollars. W: I won't forget.",What does the man ask Anne to do?,"He asks Anne to give him his passport and 2,000 dollars.","He asks Anne to bring her passport and less than 2,000 dollars.","He asks Anne to bring her passport and 2,000 dollars or more.","He asks Anne to bring her passport and 2,000 dollars or more."
3-40,W: Flight 331 is being announced. I'd better be on my way. Goodbye. Thanks for all your kind hospitality. M: You are welcome. Happy landing.,Where are the two speakers?,In a plane.,At the airport.,At the railway station.,At the airport.
14-23,"M: Hi, Kate. Have you any plans for the weekend? W: Yeah, I'm really excited, Jack. I'm going up to New York City for a couple of days. M: My roommate's going to New York, too. Are you driving? Maybe you two could ride together. W: No, I'm going to take a train to the Plain Station. I've already got my ticket. M: So what are you going to do in New York? W: I'm visiting a friend I met last summer at the music camp. I shared a camp with Laura and she's just moved to Manhattan. So I'm going up to see her new place. M: You two probably have a lot to talk about? Didn't you tell me you were from New York? W: No, I'm from California. I've never been to New York before. We are going to hear an opera at Lincoln Center on Saturday night. M: Wow, I wish I were going with you.",How will Kate travel to New York?,She'll ride with the man's roommate.,She'll drive her own ear.,She'll take a train.,She'll take a train.
12-369,"F: You shouldn't watch TV for a whole day! The exam is coming! M: Don't worry, mum. I've got ready for it.",What are they?,Classmates.,Friends.,Mother and son.,Mother and son.
4-880,"W: Excuse me! M: Yes? W: I'm afraid I am lost. I'm looking for the East Town Shopping Mall. M: Did you say the Town Hall? W: No. The East Town Mall. M: The East Mall? You are lost! That isn't anywhere near here! The East Town Mall is over near the airport. W: I'm not near the airport now? M: Oh, no! You are on the other side of town. Here is what you should do. Turn around and drive two or three miles down this street. When you see a big hospital on your right, turn left. That's Bloomfield Avenue. Are you following me? W: Yes, I think so. M: OK. Then drive along Bloomfield Avenue and you'll see the airport on the right and the mall is on the left. Okay? W: Yes, thanks very much. M: Good luck!",Where does the woman want to go?,The Town Hall.,The East Town Mall.,The airport.,The East Town Mall.
14-228,M: Did you invite John to your birthday party? W: I did. But he said he had something important to do tonight.,Why didn't John come to the party?,He was not invited.,He was ill.,He had to do something else.,He had to do something else.
7-385,M: My roommate and I are going to see a film tonight. And we are leaving at 7:40. Do you want to join us? W: Sure. But my class ends at 7:30. And the professor never finishes on time.,What can we learn about the woman?,She is not sure if she can join them.,She will skip the class to see the film.,She will ask the professor for leave.,She is not sure if she can join them.
4-133,"M: I'm Paul Adams, Branch Manager. W: Katie Thomas. Pleased to meet you. M: I take it you're looking for temporary office work. W: That's right. M: How old are you, Katie? W: I'm eighteen. M: That's rather young. What experience have you had? W: Well, I've just left school, actually, and I'm looking for a job between now and when I go to college. M: It doesn't sound as though we can help, Katie. You see, our clients are very demanding, especially when it comes to the new office technology. W: Oh, that's no problem. I took extra classes in office skills at school. M: Oh, perhaps you'd like to outline what you've been doing? W: I started by learning keyboard skills. Then I went on to learn about word processing. M: Good. You seem qualified from the technical point of view.",What would the woman like to do?,Office work.,Technical service.,Sales.,Office work.
4-1502,"M: Now some doctors are strongly encouraging arm exercises. W: Arm exercises? Is that because arms are too fat or too soft? M: Actually that's not the main reason. They say that arm exercises can make you physically healthy. W: But I was told that arm exercises could raise your blood pressure. M: Yes, but the article I read suggests some ways to make up for that. W: Really? How? M: By adding leg exercises, so that the arms don't do all the work. W: And in return, I'm sure that there's a good chance of losing weight. M: Sounds right to me. W: So what exercises do the experts suggest? M: They mentioned quite a few exercises, but one of the most popular ones is cycling. W: Good, I must try that.",Why are some experts strongly encouraging arm exercises?,Because our arms are often too fat.,Because our arms are often too soft.,Because arm exercises can build up our health.,Because arm exercises can build up our health.
4-1378,"M: Did you have a lot of friends when you were young? W: I didn't really make any close friends then because I like going off in the morning. And I mean, this was on the school holidays: riding a bike away with a few books in the basket and finding a nice place to read.",What did the woman like doing when she was young?,Riding a bicycle with friends.,Travelling the country.,Reading alone.,Reading alone.
11-232,"W: The news report said that a car hit the high building there. Is it serious? M: According to the police report, the driver is still alive.",What has caused the accident?,It was too dark there.,The driver was too careless.,It is not mentioned.,It is not mentioned.
3-90,"W: Tom, I rang you yesterday, but you were out. M: I'm sorry, Mary. But I came home quite late yesterday about half past nine in the evening. Jim and Betty invited me to go for a picnic. W: Oh, how lovely, Tom! And did you like the picnic? M: Yes, I liked it very much. W: When did you leave, Tom? M: Jim and Betty came in their car about ten o'clock in the morning, and we left soon afterwards. W: And where did you go for the picnic? M: We went to National Park. W: Oh, it's lovely in National Park at this time of the year. M: Yes, and the sun shone all day. W: There's a river in National Park; did you have your lunch near the river? M: Yes, we had lunch near the river. Then, after lunch, we went for a walk along the river. Then we climbed up to the top of a hill, and looked at the beautiful view. W: What did you do then, Tom? M: Well, we went back to the car, and we drove to another part of National Park, and we had afternoon tea there. Then we started to drive home. W: Oh, you left early! M: Yes, Mary. But it took a long time to reach home because there was a lot of traffic on the road. W: Well, that was a lovely day's outing. M: Yes, I had a very good time.",How long was Tom away from home yesterday?,For about 9.5 hours.,For about 10 hours.,For about 11.5 hours.,For about 11.5 hours.
11-102,W: What's wrong with you? M: I fell from the tree and hurt my leg.,What happened to the boy?,He hurt the tree.,The tree fell.,He fell down and hurt his leg.,He fell down and hurt his leg.
7-305,"M: I don't suppose you're free to go skating on Saturday evening, are you? W: Actually I am. I was planning to go to a lecture with my sister but it was called off.",What will the woman probably do on Saturday evening?,Go skating.,Call her sister.,Give a lecture.,Go skating.
21-54,"W: I want to buy a sweater in that shop. M: I have been there before, and I don't think the styles suit you.",What does the man mean?,He has bought a sweater in that shop.,The sweaters are ugly.,She can't buy a suitable sweater in that shop.,She can't buy a suitable sweater in that shop.
7-101,W: Where are we going to have the physical education class? M: In the gymnasium. W: May I stay in the classroom? I've got a really bad stomach ache. M: No. You should observe the class in the gym.,Where will the woman be?,In the classroom.,In the gym.,In the hospital.,In the gym.
17-6,"W: Good morning, sir. Could I ask you to register, please? M: Certainly. What do I do? W: Just fill in this form, if you would, please.",What is the most probable relationship of the two people?,Salesperson and customer.,Doctor and patient.,Receptionist and tourist.,Receptionist and tourist.
20-52,"W: I hear the mayor is planning a tax reduction. Have you any details? M: Yes, it was one of his campaign promises and he's seriously trying to make it a reality.",What can be learned about taxes from the conversation?,Taxes will increase.,Taxes will be higher.,Taxes will be lower.,Taxes will be lower.
4-1480,"M: Err. what about the next two days? W: Let me see. Tomorrow at 8:30 a.m. in the meeting room, meet managers from 4 departments. At lunch, host Mr. Turner from the MG Company. Nothing special in the afternoon and evening. You can have a good rest. M: Mmm, not bad. W: But the day after tomorrow you'll have a busy day. Visit the products exhibition in the morning, have a quick lunch, and attend your management classes at 1:30 through to 5:00. Don't forget the party at the Century Palace at 6:00. The whole of your family are going. M: What a day!",What is the relationship between the two speakers?,Boss and secretary.,Husband and wife.,Manager and customer.,Boss and secretary.
17-34,"M: Hello. I'd like some information about your trips to Paris. W: Yes, of course. What can I do for you? M: Well, how do we travel? W: It's a new coach with a washing room and ... M: And, er, how many people in a group? W: Well, usually about 40 travelers, a driver and a guide to look after you. M: Er, um ... we leave from, from Amsterdam? W: Yes, and return to Amsterdam. M: Is there anything special we'd have to bring? W: Oh, we give everyone a list of suitable clothes, etc, to bring. Of course, the space is limited. M: Oh, yes. How long in advance would I have to book? W: Well, it depends. Usually six to eight weeks. M: Well, I am interested in the four-day trip in mid-August. It will be for two people. W: That'd be fine. Could you come in and we can go over all the details? M: Yes. But can you give me some idea of how much that'll cost? W: Um, we haven't got the exact figures at the moment, but, er, something like 250 Euro per person. M: OK. Um, I'll come and see you one day next week. W: Yes. Thank you for ringing. M: Thank you. Bye. W: Bye.",Who is the woman?,A traveler.,A travel agent.,A friend of the man.,A travel agent.
4-933,"W: There you are! I've been looking for you everywhere. M: Everywhere? Why? We've been right here all along. At least, I have.",How does the man feel about what the woman said?,Disappointed.,Surprised.,Frightened.,Surprised.
18-15,"W: Police in North London are treating as murder the death of a man thought to be in his forties whose body was found in a pedestrian subway in Neasden. The man leading the hunt is Detective Chief Superintendent John Day, who explains what they know of the man's movements in the early hours of this morning. M: What we've learned is the fact that he left the Level One Club, which is a drinking club in Neasden Lane, about 1:30 a.m., and we're trying to account for movements up till 2:15 a. m., because it was about that time he was found by a member of the club, an employee. He was found in the underpass, the pedestrian way, under the North Circular Road. Death was due to multiple head injuries. We understand that there may have been two girls and a man who was drunk in close proximity to the entrance to the subway, who may have seen the man walking in that direction, or any attacker who may have been following him. W: About what time would you think that they were there? M: Just after half past one to a quarter past two. W: Then in that case the gap you have is really quite short. It's only more or less half a hour or forty minutes. M: In fact, yes, as short as that. W: And how far away from the Neasden underpass was the drinking club? M: Fifty meters. W: And at the moment you know of no other people in the area whom you want to talk to, other than the drunken man and the two women who were seen with him or near him at some time? M: Yes. The club closed at half past one and there may have been other people who left the club who went that way. We understand that there were also minicab drivers parked in the area who may have seen something as well. W: As it is, I take it you haven't been able to identify them. M: No, not at this stage. W: Well, thank you very much.",How old is the man murdered?,In his thirties.,In his twenties.,In his forties.,In his forties.
5-356,M: Do you want to turn on the air conditioner or open the window? W: I love fresh air if you don't mind.,What can be inferred from the woman's answer?,She'd like to have the windows open.,She likes to have the air conditioner on.,The air is heavily polluted.,She'd like to have the windows open.
20-79,"M: It's a vicious circle, really. It takes me the best part of an hour to get here in the morning, so I honestly never have time for breakfast. W: But you should always have something. According to nutrition experts, it's the most important meal of the day. M: That's a load of rubbish, if you ask me. It's all very well for them. They've probably got time for it. I haven't. Anyway, when I get to work, I'm plunged into the usual stressful day, and my hunger just sort of evaporates. W: Yes. I only live around the corner, but I often skip breakfast myself, but I suppose you could always make up for it at the lunch time. M: I should, but more often than not I just grab a cup of coffee and a few biscuits, or a sandwich. W: There's nothing wrong with that. That's all I ever have when I'm busy. M: Fine, but what happens as the day wears on is that the less you eat, the less you want to eat. Abstinence seems to suppress the appetite, somehow. W: Well, I suspect what we ought to be doing is establishing a regular pattern of eating, instead of just grabbing what we can when we can. M: Em, a sensible conventional diet. There's no doubt that's the way to go, so shall we now go and do something for a change? You name the restaurant and I'll treat you to lunch. W: That will be nice.",How long does it take the man to get to work every morning?,Nearly an hour,Half an hour,More than an hour,Nearly an hour
21-142,"M: Hello, Amy. Are you coming to my birthday party? W: Yes, I am. How do I get to your house from the station? M: Well, call me when you get to the station and I'll come and pick you up in my car. W: Are you sure it won't be too much trouble? M: It's no trouble at all. It only takes about 15 minutes. W: Oh, I want to check your phone number. Is it 828816887? M: No. It's 81881688. W: Oh, really? I'm glad I checked. M: What time do you plan to arrive at the station? W: I plan to get there around 8:30. M: OK. See you then. W: See you. Goodbye.",How can the woman get to the man's house?,She will be picked up at the station.,She will be picked up at her own house.,She will take a train there.,She will be picked up at the station.
10-107,"M: Do you rent rooms by the week? You see, I'm not sure whether we will stay for a whole month. W: Well, it's 30 dollars a week, plus 10 dollars for electricity, but only 130 dollars a month inclusive.",How much will the room cost for one month including electricity?,$ 140.,$ 120.,$ 130.,$ 130.
5-53,W: So you've finally listened to your wife's advice and given up smoking? M: It was my doctor's advice. I'm suffering from high blood pressure.,What do we learn from the conversation?,The man no longer smokes.,The man is under pressure from his wife.,The man usually follows his wife's advice.,The man no longer smokes.
14-327,"M: Shall we play basketball tonight? W: Oh, sorry. I'm afraid I can't. I'm seeing my uncle off at the airport at 7: 30.",What will the woman do this evening?,Say good-bye to her uncle at the airport.,Meet her uncle at the airport.,Fly to another city together with her uncle.,Say good-bye to her uncle at the airport.
12-407,"M: Were you born in Canada, Lucy? W: No, I was born in America. What about you,Tom?",Where was Lucy born?,America.,London.,Canada.,America.
16-89,"W: Would you like another piece of chicken? M: Yes, please. It's delicious. Did you cook it in Qianmen. How about some sandwiches? W: Oh, no. It's Kentucky Fried Chicken. I bought it in Qianmen. How about some sandwiches? M: Well, just one, please. Hmm, it's nice! You bought them in Kentucky Restau-rant al- so, didn't you? W: Yes, I did. Let me give you some more chicken. There's plenty more. M: No, thanks. I'm full I'd like a cup of tea, please. W: Ok. Here you are. M: Thank you. What a delicious supper!",What can be seen at their supper table?,"Fried chickens, sandwiches and tea.",Some chicken.,Sandwiches with chicken.,"Fried chickens, sandwiches and tea."
4-130,M: I believe that choosing this man will be a complete mistake. W: I wouldn't look at like that.,What is the woman's attitude?,She agrees with the man.,She doesn't agree with the man.,She doesn't know what to do.,She doesn't agree with the man.
12-331,M: What's your job? F: I'm an accountant.,What's the woman's job?,An accountant,A shop assistant,An applicant,An accountant
5-695,"W: Are you coming with me to the history museum, Godge? M: I already have my hands full with this book report.",What does the man mean?,He is too busy to go with her.,He has already visited the museum.,He has to read a history book.,He is too busy to go with her.
4-825,M: How are the restaurant prices here? W: Oh. It's not cheap but not very expensive. You can have a nice lunch for about $6.30.,What does the woman think of the restaurant prices here?,Fair.,Cheap.,Expensive.,Fair.
17-304,"M: We'll be here in London staying in a newspaper office or teaching in a classroom full of chalk dust. W: Well, Tom, you'd be able to go out in the sunshine sometimes. You are a journalist. I am the one who has to stay in the classroom. Remember.",What is the woman's profession?,Editor.,Journalist.,Teacher.,Journalist.
12-577,"M: I just got my first job offer. F: I did, too.",How many jobs have the man had?,Two,One,Three,One
12-475,F: Excuse me. I didn't hear what you said. M: I asked if you could lend me your bike.,What can we learn?,The man has a bike.,The woman has a bike.,The woman won't lend her bike.,The woman has a bike.
14-188,M: Are you free later this evening? W: I'm afraid not. I have to prepare for tomorrow's history test.,What will the woman do later this evening?,She will prepare for her maths test.,She will prepare for her English test.,She will prepare for her history test.,She will prepare for her history test.
5-118,"W: Hey, Bob, guess what? I'm going to visit Quebec next summer. I'm invited to go to a friend's wedding. But while I'm there I'd also like to do some sightseeing. M: That's nice, Shelly. But do you mean the province of Quebec, or Quebec City? W: I mean the province. My friend's wedding is in Montreal. I'm going there first. I'll stay for five days. Is Montreal the capital city of the province? M: Well, Many people think so because it's the biggest city. But it's not the capital. Quebec City is. But Montreal is great. The Saint Royal River runs right through the middle of the city. It's beautiful in summer. W: Wow, and do you think I can get by in English? My French is OK, but not that good. I know most people there speak French, but can I also use English? M: Well, People speak both French and English there. But you'll hear French most of the time. And all the street signs are in French. In fact, Montreal is the third largest French speaking city in the world. So you'd better practice your French before you go. W: Good advice. What about Quebec City? I'll visit a friend from college who lives there now. What's it like? M: It's a beautiful city, very old. Many old buildings have been nicely restored. Some of them were built in the 17th or 18th centuries. You'll love there. W: Fantastic. I can't wait to go.",What's the woman's main purpose of visiting Quebec?,To attend a wedding in Montreal.,To go sightseeing in Quebec Province.,To call on a friend in Quebec City.,To attend a wedding in Montreal.
